Source_Database	MEGARes_Header	Source_Headers(space_separated)
CARD	gi|558607399|gb|KF705209.1|betalactams|Class_A_betalactamases|SHV	@phgb|KF705209|0-861|ARO:3001361|SHV-178 [Klebsiella pneumoniae]
Lahey	gi|558607399|gb|KF705209.1|betalactams|Class_A_betalactamases|SHV	AHA80963.1 KF705209.1:1-861
NCBI	gi|558607399|gb|KF705209.1|betalactams|Class_A_betalactamases|SHV	gi|558607399|gb|KF705209.1|1-861
Resfinder	gi|558607399|gb|KF705209.1|betalactams|Class_A_betalactamases|SHV	blaSHV-178_1_KF705209
ARG-ANNOT	Flq|qnrB17|AM919398|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	(Flq)qnrB17:AM919398:37-681:645
CARD	Flq|qnrB17|AM919398|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	@phgb|AM919398|0-681|ARO:3002732|QnrB17 [Citrobacter freundii]
NCBI	Flq|qnrB17|AM919398|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|805300621|gb|KP339257.1|145-825 gi|161338641|emb|AM919398.1|1-681
Resfinder	Flq|qnrB17|AM919398|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB17_2_AM919398
CARD	CARD|pvgb|AP009048|1191352-1192024|ARO:3003585|Klebsiella|Cationic_antimicrobial_peptides|Polymyxin-resistant_phoP|phoP|RequiresSNPConfirmation	@phgb|AP009048|1191352-1192024|ARO:3000834|phoP [Escherichia coli str. K-12 substr. W3110];@pvgb|AP009048|1191352-1192024|ARO:3003585|Klebsiella mutant PhoP conferring antibiotic resistance to colistin [Escherichia coli str. K-12 substr. W3110];@pvgb|NC_007779|1191352-1192024|ARO:3003585|Klebsiella mutant PhoP conferring antibiotic resistance to colistin [Escherichia coli str. K-12 substr. W3110];@pvgb|U00096|1189775-1190447|ARO:3003585|Klebsiella mutant PhoP conferring antibiotic resistance to colistin [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|pvgb|AP009048|1191352-1192024|ARO:3003585|Klebsiella|Cationic_antimicrobial_peptides|Polymyxin-resistant_phoP|phoP|RequiresSNPConfirmation	gi|985000614|gb|CP014225.1|4028700-4029371 gi|937526251|gb|CP012870.1|3451899-3451228 gi|937521852|gb|CP012869.1|3451900-3451229 gi|937517453|gb|CP012868.1|3451889-3451218 gi|817589947|gb|CP011324.1|1183462-1184133 gi|817585806|gb|CP011323.1|1183462-1184133 gi|817581666|gb|CP011322.1|1183461-1184132 gi|817577526|gb|CP011321.1|1183462-1184133 gi|817573384|gb|CP011320.1|1189000-1189671 gi|749139368|gb|CP010456.1|1196892-1197563
CARD	CARD|phgb|NC_013450|694852-695296|ARO:3000815|mgrA|Multi-drug_resistance|MDR_regulator|MGRA	@phgb|NC_013450|694852-695296|ARO:3000815|mgrA [Staphylococcus aureus subsp. aureus ED98]
NCBI	CARD|phgb|NC_013450|694852-695296|ARO:3000815|mgrA|Multi-drug_resistance|MDR_regulator|MGRA	gi|984671414|emb|LT009690.1|722404-722848 gi|930584899|dbj|AP014942.1|707452-707896 gi|929858715|gb|CP010402.1|722043-722487 gi|927048389|gb|CP010890.1|690558-691002 gi|925190036|gb|CP012593.1|743673-744117 gi|827443540|gb|CP011528.1|686127-686571 gi|803444476|gb|CP011147.1|728457-728901 gi|781886788|dbj|AP014653.1|716312-716756 gi|781883823|dbj|AP014652.1|716312-716756 gi|777211012|emb|LN831036.1|726529-726973
CARD	CARD|phgb|U00096|2158385-2161463|ARO:3000794|mdtC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC	@phgb|U00096|2158385-2161463|ARO:3000794|mdtC [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|phgb|U00096|2158385-2161463|ARO:3000794|mdtC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC	gi|985000614|gb|CP014225.1|355585-358663 gi|939732440|gb|CP011343.2|2138543-2141621 gi|939731527|gb|CP011342.2|2139239-2142317 gi|937526251|gb|CP012870.1|2483268-2480190 gi|937521852|gb|CP012869.1|2483268-2480190 gi|937517453|gb|CP012868.1|2483268-2480190 gi|932857508|emb|LN877770.1|2522420-2525498 gi|923416119|gb|CP011113.1|2121248-2124326 gi|899729770|gb|CP012127.1|2139577-2142655 gi|899725419|gb|CP012126.1|2142191-2145269
ARG-ANNOT	Bla|LEN-10|AJ635419|1-789|789|betalactams|Class_A_betalactamases|LEN	(Bla)LEN-10:AJ635419:1-789:789
CARD	Bla|LEN-10|AJ635419|1-789|789|betalactams|Class_A_betalactamases|LEN	@phgb|AJ635419|0-789|ARO:3002460|LEN-10 [Klebsiella pneumoniae]
NCBI	Bla|LEN-10|AJ635419|1-789|789|betalactams|Class_A_betalactamases|LEN	gi|46309213|emb|AJ635419.1|1-789
Resfinder	Bla|LEN-10|AJ635419|1-789|789|betalactams|Class_A_betalactamases|LEN	blaLEN10_1_AJ635419
NCBI	gi|284468331|gb|GU550123.1|betalactams|Class_A_betalactamases|TEM	gi|284468331|gb|GU550123.1|1-1087
ARG-ANNOT	237|S81599.1|S81599|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	(AGly)Aph3-Vc:S81599:282-1076:795
CARD	237|S81599.1|S81599|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	@phgb|S81599|281-1076|ARO:3002651|APH(3')-Vc [Micromonospora chalcea]
NCBI	237|S81599.1|S81599|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	gi|244648|gb|S81599.1|282-1076
Resfinder	237|S81599.1|S81599|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	aph(3')-Vc_1_S81599
ARG-ANNOT	Bla|MIR-4|EF587233|1-1101|1101|betalactams|Class_C_betalactamases|MIR	(Bla)MIR-4:EF587233:1-1101:1101
NCBI	Bla|MIR-4|EF587233|1-1101|1101|betalactams|Class_C_betalactamases|MIR	gi|148283779|gb|EF587233.1|1-1101
NCBI	Flq|CP004022.1|gene2480|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	gi|529186758|gb|CP004022.1|2698902-2695945
NCBI	gi|29650763|gb|AY243512.1|betalactams|Class_A_betalactamases|TEM	gi|29650763|gb|AY243512.1|1-1069
CARD	CARD|phgb|HQ203032|0-345|ARO:3000245|RbpA|Rifampin|RNA-polymerase_binding_protein|RBPA	@phgb|HQ203032|0-345|ARO:3000245|RbpA [Mycobacterium smegmatis str. MC2 155]
NCBI	CARD|phgb|HQ203032|0-345|ARO:3000245|RbpA|Rifampin|RNA-polymerase_binding_protein|RBPA	gi|698956000|gb|CP009496.1|3929322-3929666 gi|698947717|gb|CP009495.1|3929334-3929678 gi|698938524|gb|CP009494.1|3929295-3929639 gi|399228992|gb|CP001663.1|3930862-3931206 gi|319996805|gb|HQ203032.1|1-345 gi|118168627|gb|CP000480.1|3929250-3929594
CARD	706|X04555.1|X04555|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME	@phgb|X04555|0-750|ARO:3000230|ANT(2'')-Ia [uncultured bacterium]
NCBI	706|X04555.1|X04555|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME	gi|973585379|gb|KP054476.2|32522-33271 gi|973585379|gb|KP054476.2|28055-28265 gi|973585379|gb|KP054476.2|51626-51836 gi|959190351|gb|CP013324.1|126827-126078 gi|957647579|dbj|AP017302.1|414340-413591 gi|957647579|dbj|AP017302.1|2607512-2607722 gi|828952302|gb|CP011622.1|98074-98823 gi|821346305|dbj|LC054840.1|1050-1799 gi|787862679|gb|CP008707.1|37721-36972 gi|662716992|gb|CP008825.1|138347-139096 gi|662716651|gb|CP008824.1|204550-205299 gi|662716651|gb|CP008824.1|269435-269647 gi|662716651|gb|CP008824.1|54656-54865 gi|662716651|gb|CP008824.1|212889-213076 gi|660573358|gb|CP008790.1|155314-156063 gi|660573358|gb|CP008790.1|138837-139047 gi|640855459|gb|CP007732.1|156882-157631 gi|640855459|gb|CP007732.1|221767-221979 gi|640855459|gb|CP007732.1|54667-54876 gi|640855459|gb|CP007732.1|165221-165408
CARD	CARD|phgb|AF173226|351-1041|ARO:3003066|smeR|Multi-drug_resistance|Multi-drug_efflux_pumps|sme	@phgb|AF173226|351-1041|ARO:3003066|smeR [Stenotrophomonas maltophilia]
NCBI	CARD|phgb|AF173226|351-1041|ARO:3003066|smeR|Multi-drug_resistance|Multi-drug_efflux_pumps|sme	gi|5764623|gb|AF173226.1|352-1042
NCBI	Sul|sul1_15_EF667294|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	gi|695212668|ref|NG_036469.1|1925-1086
Resfinder	Sul|sul1_15_EF667294|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	sul1_15_EF667294
NCBI	MLS|msrA_1_X52085|MLS|Macrolide_resistance_efflux_pumps|MSRA	gi|47000|emb|X52085.1|343-1809
Resfinder	MLS|msrA_1_X52085|MLS|Macrolide_resistance_efflux_pumps|MSRA	msr(A)_1_X52085
ARG-ANNOT	1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-2:HM131431:1-828:828
CARD	1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA	@phgb|M95287|0-828|ARO:3001397|OXA-2 [Plasmid R46]
Lahey	1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA	CAA30246.1 X07260.1:701-1528
NCBI	1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA	gi|982900359|gb|KT984195.1|1178-2005 gi|957761167|gb|KT440883.1|4930-5757 gi|828958913|gb|CP011634.1|69154-69981 gi|828958913|gb|CP011634.1|165472-166299 gi|828958653|gb|CP011632.1|44387-45214 gi|828945263|gb|CP011614.1|19781-20608 gi|828933472|gb|CP011599.1|37539-38366 gi|828927110|gb|CP011593.1|53200-54027 gi|765526698|gb|KF743818.1|17175-16348 gi|728041178|gb|KJ668593.1|2302-3129 gi|724471669|gb|KM659858.1|2675-3502
Resfinder	1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA	blaOXA-2_1_DQ310703
ARG-ANNOT	Bla|KPC-6|EU555534|1-882|882|betalactams|Class_A_betalactamases|KPC	(Bla)KPC-6:EU555534:1-882:882
CARD	Bla|KPC-6|EU555534|1-882|882|betalactams|Class_A_betalactamases|KPC	@phgb|EU555534|0-882|ARO:3002316|KPC-6 [Klebsiella pneumoniae]
Lahey	Bla|KPC-6|EU555534|1-882|882|betalactams|Class_A_betalactamases|KPC	ACB71165.1 EU555534.1:1-882
NCBI	Bla|KPC-6|EU555534|1-882|882|betalactams|Class_A_betalactamases|KPC	gi|172054654|gb|EU555534.1|1-882
Resfinder	Bla|KPC-6|EU555534|1-882|882|betalactams|Class_A_betalactamases|KPC	blaKPC-6_1_EU555534
CARD	CARD|phgb|AB219524.1|22-1180|ARO:3003698|mexP|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXP	@phgb|AB219524.1|22-1180|ARO:3003698|mexP [Pseudomonas aeruginosa]
NCBI	CARD|phgb|AB219524.1|22-1180|ARO:3003698|mexP|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXP	gi|968567191|gb|CP013680.1|1955995-1954838 gi|926451317|emb|LN871187.1|1572030-1573187 gi|881079720|gb|CP012066.1|4313903-4312746 gi|589338112|gb|CP006985.1|1637667-1638824 gi|589332184|gb|CP006984.1|1637804-1638961 gi|589326231|gb|CP006983.1|1637604-1638761 gi|589320215|gb|CP006982.1|1637838-1638995 gi|589314341|gb|CP006981.1|1595965-1597122 gi|589308385|gb|CP006980.1|1638191-1639348 gi|576902775|gb|CP007147.1|5637570-5636413
NCBI	Flq|NC_012469.1.7686721|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|909837468|gb|CP003357.2|992417-994885 gi|556027507|gb|CP006844.1|912912-915380 gi|298237097|gb|CP001993.1|1178899-1181367 gi|225726369|gb|CP000921.1|953680-956148 gi|73916173|gb|DQ175154.1|1-2469
CARD	CARD|phgb|JQ808129|4027-4660|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT	@phgb|JQ808129|4027-4660|ARO:3002670|cat [Klebsiella pneumoniae]
NCBI	CARD|phgb|JQ808129|4027-4660|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT	gi|958108507|emb|LN824138.1|11571-12204 gi|958102843|emb|LN824133.1|2816842-2817475 gi|957647579|dbj|AP017302.1|2612324-2612957 gi|550602065|gb|KF295829.1|122792-123425 gi|443299869|gb|JQ955744.1|4020-4653 gi|695214903|ref|NG_036913.1|7556-8189 gi|493665175|dbj|AP012055.1|51547-50914 gi|695226706|ref|NG_041561.1|4028-4661
Lahey	1470|unknown_id|unknown_name|betalactams|Class_A_betalactamases|CARB	CCW43444.1 HF953351.1:3358-2462
NCBI	1470|unknown_id|unknown_name|betalactams|Class_A_betalactamases|CARB	gi|483933409|emb|HF953351.1|3358-2462
NCBI	Bla|OXA-2_2_AY444814|betalactams|Class_D_betalactamases|OXA	gi|42563726|gb|AY444814.1|3988-4815
Resfinder	Bla|OXA-2_2_AY444814|betalactams|Class_D_betalactamases|OXA	blaOXA-2_2_AY444814
NCBI	gi|13562034|gb|AF351241.1|betalactams|Class_A_betalactamases|TEM	gi|695200318|ref|NG_035427.1|1-950 gi|943457735|gb|KT818627.1|74996-74889 gi|943457735|gb|KT818627.1|136587-136480 gi|959195734|gb|CP013326.1|60879-60772 gi|959190351|gb|CP013324.1|110333-110226
NCBI	gi|4557167|gb|AF104442.1|betalactams|Class_A_betalactamases|TEM	gi|4557167|gb|AF104442.1|1-1054
ARG-ANNOT	552|EU503121.1|EU503121|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-20:AF024602:1238-2038:801
CARD	552|EU503121.1|EU503121|betalactams|Class_D_betalactamases|OXA	@phgb|NC_010611|251961-252762|ARO:3001415|OXA-20 [Acinetobacter baumannii ACICU]
Lahey	552|EU503121.1|EU503121|betalactams|Class_D_betalactamases|OXA	AAC23554.1 AF024602.1:1238-2038
NCBI	552|EU503121.1|EU503121|betalactams|Class_D_betalactamases|OXA	gi|806639053|gb|KM972600.1|2323-2633 gi|219872982|gb|FJ445404.1|2131-2441 gi|209981013|gb|EU503121.1|7854-8164 gi|183207914|gb|CP000863.1|251962-252272 gi|32172495|gb|AY307114.1|1243-1553 gi|21668215|emb|AJ319747.1|1294-1604 gi|3220157|gb|AF024602.1|AF024602|1238-1548
Resfinder	552|EU503121.1|EU503121|betalactams|Class_D_betalactamases|OXA	blaOXA-20_1_AF024602
ARG-ANNOT	Phe|Cat-pC221|X02529|2267-2914|648|Phenicol|Chloramphenicol_acetyltransferases|CATA	(Phe)Cat-pC221:X02529:2267-2914:648
CARD	Phe|Cat-pC221|X02529|2267-2914|648|Phenicol|Chloramphenicol_acetyltransferases|CATA	@phgb|X02529|2266-2914|ARO:3002670|cat [Staphylococcus aureus]
NCBI	Phe|Cat-pC221|X02529|2267-2914|648|Phenicol|Chloramphenicol_acetyltransferases|CATA	gi|757805039|dbj|AB982228.1|1-648 gi|161728768|dbj|AB369999.1|2267-2914 gi|46630|emb|X02529.1|2267-2914 gi|46545|emb|X02166.1|2267-2914 gi|209205|gb|M16192.1|SYNPTZ12|1193-1840 gi|118135712|gb|EF070728.1|1-514
Resfinder	Phe|Cat-pC221|X02529|2267-2914|648|Phenicol|Chloramphenicol_acetyltransferases|CATA	cat(pC221)_1_X02529
CARD	Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX	@phgb|KF513180|0-876|ARO:3002005|CTX-M-147 [Klebsiella pneumoniae]
Lahey	Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX	AHA80961.1 KF513180.1:1-876
NCBI	Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX	gi|558607395|gb|KF513180.1|1-876
Resfinder	Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX	blaCTX-M-147_1_KF513180
ARG-ANNOT	Bla|CTX-M-107|JF274244|1-864|864|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-107:JF274244:1-864:864
NCBI	Bla|CTX-M-107|JF274244|1-864|864|betalactams|Class_A_betalactamases|CTX	gi|343480067|gb|JF274244.1|864-1
CARD	Bla|KC243783.1|gene1|betalactams|Penicillin_binding_protein|MECA	@phgb|KC243783|0-2007|ARO:3000617|mecA [Staphylococcus aureus]
NCBI	Bla|KC243783.1|gene1|betalactams|Penicillin_binding_protein|MECA	gi|441494908|gb|KC243783.1|1-2007
CARD	270|M33768.1|BACBMRX|Multi-drug_resistance|Multi-drug_efflux_pumps|BMR	@phgb|M33768|194-1364|ARO:3003007|bmr [Bacillus subtilis]
NCBI	270|M33768.1|BACBMRX|Multi-drug_resistance|Multi-drug_efflux_pumps|BMR	gi|5776546|gb|L25604.2|BACBMRURBE|1221-2390 gi|2627063|dbj|D84432.1|BACJH642|224991-223822 gi|142605|gb|M33768.1|BACBMRX|195-1364
ARG-ANNOT	1326|S71932.1|S71932|betalactams|Class_B_betalactamases|IMP	(Bla)IMP-39:D50438:1195-1935:741
CARD	1326|S71932.1|S71932|betalactams|Class_B_betalactamases|IMP	@phgb|AJ223604|1484-2225|ARO:3002192|IMP-1 [Pseudomonas aeruginosa]
Lahey	1326|S71932.1|S71932|betalactams|Class_B_betalactamases|IMP	AAB30289.1 S71932.1:448-1188
NCBI	1326|S71932.1|S71932|betalactams|Class_B_betalactamases|IMP	gi|970567970|dbj|LC107423.1|1672-2412 gi|761589803|dbj|AP014651.1|5292282-5293022 gi|677283264|dbj|AB983593.1|2469-3209 gi|575771410|dbj|AB901045.1|97-837 gi|575771403|dbj|AB901043.1|669-1409 gi|575771381|dbj|AB901038.1|43-783 gi|575771373|dbj|AB901036.1|69-809 gi|575771367|dbj|AB901035.1|57-797 gi|573013567|dbj|AP013064.1|28589-27849 gi|537705843|dbj|AB472901.2|1760-2500 gi|537705843|dbj|AB472901.2|2623-3355
CARD	CARD|phgb|X55640|111-972|ARO:3001064|SHV-5|betalactams|Class_A_betalactamases|SHV	@phgb|X55640|111-972|ARO:3001064|SHV-5 [Klebsiella pneumoniae]
NCBI	CARD|phgb|X55640|111-972|ARO:3001064|SHV-5|betalactams|Class_A_betalactamases|SHV	gi|846281090|gb|KP294351.1|15259-16120 gi|846280946|gb|KP294350.1|15260-16121 gi|800908535|gb|KM406490.1|73373-74234 gi|723258375|gb|CP009883.1|264241-265102 gi|723243622|gb|CP009869.1|124337-123476 gi|678126431|gb|KJ541681.1|27825-26964 gi|662716651|gb|CP008824.1|264940-264079 gi|640855459|gb|CP007732.1|217272-216411 gi|619739382|gb|CP007558.1|217261-216400 gi|407810043|gb|JQ824049.1|16399-15538
CARD	gi|70980483|emb|AM049399.1|betalactams|Class_A_betalactamases|TEM	@phgb|AM049399|0-861|ARO:3001007|TEM-144 [Salmonella enterica subsp. enterica serovar Derby]
Lahey	gi|70980483|emb|AM049399.1|betalactams|Class_A_betalactamases|TEM	CAJ17558.1 AM049399.1:1-861
NCBI	gi|70980483|emb|AM049399.1|betalactams|Class_A_betalactamases|TEM	gi|545190826|emb|HG428760.1|4806-5666 gi|70980483|emb|AM049399.1|1-861
ARG-ANNOT	Bla|OXA-87|DQ348075|1-825|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-87:DQ348075:1-825:825
CARD	Bla|OXA-87|DQ348075|1-825|825|betalactams|Class_D_betalactamases|OXA	@phgb|DQ348075|0-825|ARO:3001704|OXA-87 [Acinetobacter baumannii]
Lahey	Bla|OXA-87|DQ348075|1-825|825|betalactams|Class_D_betalactamases|OXA	ABC84263.1 DQ348075.1:1-825
NCBI	Bla|OXA-87|DQ348075|1-825|825|betalactams|Class_D_betalactamases|OXA	gi|695200860|ref|NG_036194.1|1-825
Resfinder	Bla|OXA-87|DQ348075|1-825|825|betalactams|Class_D_betalactamases|OXA	blaOXA-87_1_DQ348075
NCBI	MLS|AM399080.1|gene2|MLS|Lincosamide_nucleotidyltransferases|LNUA	gi|391225694|gb|JQ861958.1|2562-2077 gi|158526956|gb|EU185047.1|716-231 gi|114425695|emb|AM399080.1|2150-1665 gi|86439166|emb|AM184102.1|2433-1948
ARG-ANNOT	Bla|GOB-13|AY647250|1-879|879|betalactams|Class_B_betalactamases|GOB	(Bla)GOB-13:AY647250:1-879:879
NCBI	Bla|GOB-13|AY647250|1-879|879|betalactams|Class_B_betalactamases|GOB	gi|49798158|gb|AY647250.1|1-879
Resfinder	Bla|GOB-13|AY647250|1-879|879|betalactams|Class_B_betalactamases|GOB	blaGOB-13_1_AY647251
NCBI	Gly|VanY-Pt_3_DQ018710|Glycopeptides|VanA-type_accessory_protein|VANYA	gi|66731632|gb|DQ018710.1|8162-9046
Resfinder	Gly|VanY-Pt_3_DQ018710|Glycopeptides|VanA-type_accessory_protein|VANYA	VanY-Pt_3_DQ018710
CARD	CARD|phgb|HE999704|2734780-2736181|ARO:3000421|norB|Multi-drug_resistance|Multi-drug_efflux_pumps|NORB	@phgb|HE999704|2734780-2736181|ARO:3000421|norB [Listeria monocytogenes]
NCBI	CARD|phgb|HE999704|2734780-2736181|ARO:3000421|norB|Multi-drug_resistance|Multi-drug_efflux_pumps|NORB	gi|584269433|emb|HG813249.1|236128-237529 gi|441472679|emb|HE999705.1|2735127-2736528 gi|441469547|emb|HE999704.1|2734781-2736182
CARD	CARD|phgb|AB372881|8-869|ARO:3001160|SHV-111|betalactams|Class_A_betalactamases|SHV	@phgb|AB372881|8-869|ARO:3001160|SHV-111 [Klebsiella pneumoniae]
NCBI	CARD|phgb|AB372881|8-869|ARO:3001160|SHV-111|betalactams|Class_A_betalactamases|SHV	gi|163914146|dbj|AB372881.1|9-870
CARD	MLS|ermB_6_AF242872|MLS|23S_rRNA_methyltransferases|ERMB	@phgb|AF242872|2131-2878|ARO:3000375|ErmB [Enterococcus faecium]
NCBI	MLS|ermB_6_AF242872|MLS|23S_rRNA_methyltransferases|ERMB	gi|9246952|gb|AF242872.1|2132-2878 gi|695199564|ref|NG_035261.1|3250-3996
Resfinder	MLS|ermB_6_AF242872|MLS|23S_rRNA_methyltransferases|ERMB	erm(B)_6_AF242872
ARG-ANNOT	Bla|OXA-21|DQ522237|3974-4801|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-21:DQ522237:3974-4801:825
NCBI	Bla|OXA-21|DQ522237|3974-4801|825|betalactams|Class_D_betalactamases|OXA	gi|102231664|gb|DQ522237.1|3974-4801
ARG-ANNOT	64|L36601.1|STMOLEB|MLS|ABC_transporter|OLEB	(MLS)OleB:L36601:1421-3130:1710
CARD	64|L36601.1|STMOLEB|MLS|ABC_transporter|OLEB	@phgb|L36601|1420-3130|ARO:3003036|oleB [Streptomyces antibioticus]
NCBI	64|L36601.1|STMOLEB|MLS|ABC_transporter|OLEB	gi|556426|gb|L36601.1|STMOLEB|1421-3130 gi|930828324|gb|CP012752.1|85628-85656 gi|924532124|gb|CP011340.1|2461396-2461368 gi|120587178|gb|CP000512.1|1953668-1953695
Resfinder	64|L36601.1|STMOLEB|MLS|ABC_transporter|OLEB	ole(B)_1_L36601
ARG-ANNOT	578|X90856.1|X90856|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	(AGly)Aph3-IIb:X90856:388-1194:807
CARD	578|X90856.1|X90856|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	@phgb|X90856|387-1194|ARO:3002645|APH(3')-IIb [Pseudomonas aeruginosa]
NCBI	578|X90856.1|X90856|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	gi|674252391|gb|CP008739.2|6811959-6812765 gi|953190|emb|X90856.1|388-1194
Resfinder	578|X90856.1|X90856|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	aph(3')-IIb_1_X90856
CARD	CARD|phgb|AF516720|214-1075|ARO:3000968|TEM-105|betalactams|Class_A_betalactamases|TEM	@phgb|AF516720|214-1075|ARO:3000968|TEM-105 [Escherichia coli]
NCBI	CARD|phgb|AF516720|214-1075|ARO:3000968|TEM-105|betalactams|Class_A_betalactamases|TEM	gi|21541784|gb|AF516720.1|215-1076
NCBI	1823|AB777500.1|AB777500|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|459978567|dbj|AB777500.1|1127-1681 gi|441482385|gb|JX982232.1|280-834
ARG-ANNOT	695|GU323019.1|GU323019|betalactams|Class_B_betalactamases|DIM	(Bla)DIM-1:GU323019:1-756:756
CARD	695|GU323019.1|GU323019|betalactams|Class_B_betalactamases|DIM	@phgb|KC004136|40-796|ARO:3000848|DIM-1 [Enterobacter sp. SL1]
NCBI	695|GU323019.1|GU323019|betalactams|Class_B_betalactamases|DIM	gi|957647579|dbj|AP017302.1|2607736-2608491 gi|821346297|dbj|LC054838.1|34-789 gi|444247371|gb|KC004136.2|41-796 gi|291278191|gb|GU323019.1|1-756 gi|931352876|gb|KR605502.1|378-1 gi|931352874|gb|KR605501.1|371-1
Resfinder	695|GU323019.1|GU323019|betalactams|Class_B_betalactamases|DIM	blaDIM-1_1_GU323019
CARD	gi|537430800|gb|KF057030.1|betalactams|Class_D_betalactamases|OXA	@phgb|KF057030|0-825|ARO:3001684|OXA-313 [Acinetobacter baumannii]
Lahey	gi|537430800|gb|KF057030.1|betalactams|Class_D_betalactamases|OXA	AGU69251.1 KF057030.1:1-825
NCBI	gi|537430800|gb|KF057030.1|betalactams|Class_D_betalactamases|OXA	gi|537430800|gb|KF057030.1|1-825
CARD	gi|558605696|gb|KF526117.1|betalactams|Class_C_betalactamases|ACT	@phgb|KF526117|0-1146|ARO:3001841|ACT-20 [Enterobacter hormaechei]
Lahey	gi|558605696|gb|KF526117.1|betalactams|Class_C_betalactamases|ACT	AHA80105.1 KF526117.1:1-1146
NCBI	gi|558605696|gb|KF526117.1|betalactams|Class_C_betalactamases|ACT	gi|558605696|gb|KF526117.1|1-1146
NCBI	Flq|CP004022.1|gene1837|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|529186758|gb|CP004022.1|1979719-1977086
ARG-ANNOT	Bla|cfxA4|AY769933|1-966|966|betalactams|Class_A_betalactamases|CFX	(Bla)cfxA4:AY769933:1-966:966
CARD	Bla|cfxA4|AY769933|1-966|966|betalactams|Class_A_betalactamases|CFX	@phgb|AY769933|0-966|ARO:3003005|CfxA4 [Bacteroides fragilis]
NCBI	Bla|cfxA4|AY769933|1-966|966|betalactams|Class_A_betalactamases|CFX	gi|54660102|gb|AY769933.1|1-966
Resfinder	Bla|cfxA4|AY769933|1-966|966|betalactams|Class_A_betalactamases|CFX	cfxA4_1_AY769933
ARG-ANNOT	1428|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VAND	(Gly)VanA-D:AY082011:5901-6932:1032
CARD	1428|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VAND	@phgb|AY082011|5900-6932|ARO:3000005|vanD [Enterococcus faecium]
NCBI	1428|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VAND	gi|27461214|gb|AY082011.1|5901-6932 gi|11527843|gb|AF277571.1|AF277571|1262-2293
Resfinder	1428|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VAND	VanD_3_AY082011
ARG-ANNOT	gi|351735908|gb|JF949915.1|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-192:JF949915:1-754:754
